st_id,source_table,n_data_rows,file
ST01,r5_orthogonal_aging_mr,15,ST01_r5_orthogonal_aging_mr.csv
ST02,r5_aging_instruments_clumped,384,ST02_r5_aging_instruments_clumped.csv
ST03,r5_presso_summary,3,ST03_r5_presso_summary.csv
ST04,r5_presso_outliers,279,ST04_r5_presso_outliers.csv
ST05,r5_raps_vs_ivw,18,ST05_r5_raps_vs_ivw.csv
ST06,r5_bidirectional_matrix,27,ST06_r5_bidirectional_matrix.csv
ST07,r5_reverse_mr_components,120,ST07_r5_reverse_mr_components.csv
ST08,r5_winners_curse_corrected,6,ST08_r5_winners_curse_corrected.csv
ST09,r5_astle_selection_sensitivity,8,ST09_r5_astle_selection_sensitivity.csv
ST10,r5_heterogeneity_snp_clusters,93,ST10_r5_heterogeneity_snp_clusters.csv
ST11,r5_heterogeneity_cluster_enrichment,92,ST11_r5_heterogeneity_cluster_enrichment.csv
ST12,r5_cluster_annotation_enrichment,3,ST12_r5_cluster_annotation_enrichment.csv
ST13,r5_snp_clusters,93,ST13_r5_snp_clusters.csv
ST14,r5_nhanes_weighted_results,22,ST14_r5_nhanes_weighted_results.csv
ST15,r5_nhanes_weighted_vs_unweighted,20,ST15_r5_nhanes_weighted_vs_unweighted.csv
ST16,r5_age_interaction,12,ST16_r5_age_interaction.csv
ST17,r5_age_interaction_results,34,ST17_r5_age_interaction_results.csv
ST18,r5_age_stratified_or,22,ST18_r5_age_stratified_or.csv
ST19,r5_ige_validation_weighted,8,ST19_r5_ige_validation_weighted.csv
ST20,r5_threshold_weighted_bootstrap,2,ST20_r5_threshold_weighted_bootstrap.csv
ST21,r5_mortality_cox_weighted,8,ST21_r5_mortality_cox_weighted.csv
ST22,r5_il4_locus_coloc,10,ST22_r5_il4_locus_coloc.csv
ST23,r5_il4_locus_coloc_IL4_eQTLGen_ALLERG_ASTHMA_persnp,175,ST23_r5_il4_locus_coloc_IL4_eQTLGen_ALLERG_ASTHMA_persnp.csv
ST24,r5_il4_locus_coloc_IL4_eQTLGen_ALLERG_RHINITIS_persnp,175,ST24_r5_il4_locus_coloc_IL4_eQTLGen_ALLERG_RHINITIS_persnp.csv
ST25,r5_il4_locus_coloc_IL4_eQTLGen_L12_ATOPIC_persnp,175,ST25_r5_il4_locus_coloc_IL4_eQTLGen_L12_ATOPIC_persnp.csv
ST26,r5_il4_locus_coloc_IL4_DICE_TREG_NAIVE_ALLERG_ASTHMA_persnp,42,ST26_r5_il4_locus_coloc_IL4_DICE_TREG_NAIVE_ALLERG_ASTHMA_persnp.csv
